index,PLOT,SEASON,TREAT,PAIR,TEMP_AV_ACROSSPLOTS,TEMP_AV_SURFACE,H2O,N,P,Al,Ca,Fe,K,Mg,Mn,Na,TEB,ECEC,pH,resinbagPO4,resinbagNH4,resinbagNO3,resinTIN,NH4,NO3,resinP,DOC,DON,DOCN,micC,micN,micP,micCN,micCP,micNP,AG_ST,BG_ST,BIS_ST,CEL_ST,MUP_ST,NA_ST,S_ST,XYL_ST,POX_ST,LEU_ST,AG_micC,BG_micC,BIS_micC,CEL_micC,MUP_micC,NA_micC,S_micC,XYL_micC,POX_micC,LEU_micC,AG_30,BG_30,BIS_30,CEL_30,MUP_30,NA_30,S_30,XYL_30,POX_30,LEU_30,AG_Q10,BG_Q10,BIS_Q10,CEL_Q10,MUP_Q10,NA_Q10,S_Q10,XYL_Q10,POX_Q10,LEU_Q10,avCO2,ITS_Observed_p,ITS_Shannon_exp_p,ITS_InvSimpson_p,X16S_Observed_p,X16S_Shannon_exp_p,X16S_InvSimpson_p,CUEcn,CUEcp,NUE,PUE,Tmin,SI,enzCN,enzCP,enzNP
2,2,W,C,A,26,26.2,0.3793,0.3367,0.43,0.01,36.65,0.01,0.69,8.16,0.04,0.11,45.6,45.7,6.18,1.42,3.92,24.33,28.25,4.81,3.13,7.58,75.86,8.22,9.44,444.72,110.13,65.03,4.42,8.13,2.37,0.24,4.22,2.54,1.09,15.07,3.54,3.8,1.01,94.13,38.61,0.5322,9.4967,5.7078,2.4398,33.8794,7.9489,8.5448,2.2636,211.6524,86.8196,0.25,4.91,2.91,1.36,16.79,4.26,4.14,1.24,117.25,50.42,1.51,1.31,1.34,1.89,1.22,1.54,1.23,1.59,1.58,1.81,5.27,159,30.275,14.749,590,291.157,129.323,0.22,0.21,0.87,0.88,0.14,1.44,0.5024,0.6554,1.3044
4,4,W,C,B,26,26.29,0.3832,0.3033,0.33,0,29.23,0.02,1.18,14.59,0.12,0.14,45.1,45.3,5.73,1.5,3.17,19.92,23.08,5.57,3.22,7.95,59.51,6.32,10.67,440.6,86.19,81.45,5.14,5.39,1.09,0.22,4.57,3.02,1.09,20.27,3.65,4.92,1.11,81.25,29.51,0.488,10.3647,6.8468,2.4777,46.0019,8.2766,11.1629,2.5117,184.4087,66.9772,0.28,5.56,3.67,1.47,23.84,4.69,5.65,1.43,93.75,40.24,1.51,1.5,1.58,2.3,1.37,1.85,1.39,1.76,1.24,2.14,4.06,152,27.117,11.593,570,309.249,130.67,0.25,0.19,0.85,0.9,-2.63,1.25,0.555,0.6173,1.1123
6,6,W,C,C,26,26.26,0.3774,0.3333,0.3,0,32.07,0,0.57,21.32,0.06,0.14,54.1,54.2,5.93,0.75,1.83,19.67,21.5,2.92,2.27,7.04,56.68,5.42,11.09,390.66,72.61,85.7,5.26,4.5,0.83,0.21,3.22,2.33,0.75,14.79,2.57,5.45,0.66,92.5,27.78,0.5418,8.2509,5.9514,1.9113,37.8545,6.57,13.9379,1.698,236.7773,71.11,0.3,3.7,2.7,1.04,16.14,3.04,7.52,0.83,116.75,37.06,1.83,1.31,1.44,2.36,1.24,1.6,1.47,1.63,1.53,1.85,4.28,164,26.828,9.751,664,324.743,120.613,0.27,0.16,0.83,0.92,-0.13,1.42,0.4624,0.5556,1.2017
8,8,W,C,D,26,25.8,0.4011,0.2433,0.27,0,25.49,0,1.86,14.93,0.02,0.08,42.3,42.4,6.01,3.67,4.33,106.42,110.75,2.04,3.71,5.97,44.89,5.22,11.57,277.37,56.55,33.4,4.72,11.55,2.45,0.15,3.55,1.77,0.68,13.02,2.95,3.56,0.71,92.38,21.96,0.5336,12.8047,6.3753,2.4456,46.9465,10.6235,12.8407,2.5477,333.0359,79.1715,0.22,4.85,2.28,0.84,15.88,3.79,4.23,0.95,121.25,29.86,2.08,1.76,1.74,2,1.48,1.69,1.48,1.83,3.58,2.07,2.08,138,28.216,13.966,594,331.326,168.742,0.24,0.22,0.85,0.88,0,1.54,0.5058,0.6037,1.1935
10,10,W,C,E,26,26.09,0.3702,0.26,0.32,0.02,37.06,0.01,1.38,21.43,0.07,0.13,60,60.1,6.28,4.08,4.75,37.33,42.08,3.44,4.53,9.45,63.79,4.91,14.67,334.93,72.64,64.23,4.49,5.54,1.17,0.28,4.62,2.11,0.86,14.8,3.37,4.54,0.72,111.88,32.22,0.8211,13.789,6.2998,2.5727,44.1983,10.0469,13.56,2.1597,334.025,96.1992,0.28,4.85,2.41,1.13,16.29,3.86,5.03,0.94,149.25,42.8,1.54,1.37,1.41,1.81,1.27,1.47,1.33,1.65,1.14,1.8,5.21,143,8.798,3.079,491,298.288,174.743,0.22,0.16,0.87,0.92,-2.46,1.29,0.5231,0.6607,1.263
1,1,W,W3,A,29,29.38,0.3999,0.4267,0.35,0,31.43,0.01,1.72,9.98,0.04,0.15,43.3,43.3,6.01,1.33,3.67,47.17,50.83,8.03,4.67,9.52,118.74,11.66,11.15,690.11,135.48,87.98,4.61,8.61,1.74,0.26,4.1,3.5,1,20.43,5.63,6.08,1.17,147.13,52.8,0.3768,5.9459,5.0717,1.449,29.6017,8.1606,8.8102,1.6954,213.1914,76.5098,0.29,4.29,4,1.12,21.29,6.05,6.34,1.25,152.75,53.52,1.77,1.38,1.39,2.03,1.37,1.46,1.3,1.72,1.22,1.76,11.78,101,28.256,15.094,502,226.326,84.206,0.32,0.21,0.77,0.88,0.07,1.51,0.4614,0.5911,1.2812
3,3,W,W3,B,29,29.29,0.4007,0.32,0.37,0.01,27.19,0.01,0.85,16.51,0.06,0.12,44.7,44.7,5.86,2.83,3.33,42.5,45.83,3.11,2.57,8.66,60.57,6.48,10.12,364.62,66.4,70.68,5.07,6.7,1.31,0.33,4.37,3.05,1.26,19.21,3.58,5.72,1.36,119.75,32.1,0.8914,11.9715,8.3558,3.4603,52.672,9.8277,15.6741,3.7254,328.4286,88.0381,0.33,4.59,3.27,1.29,20.26,3.76,5.91,1.45,126.5,32.6,2.48,1.36,1.42,1.99,1.27,1.54,1.27,1.72,1.41,2,4.46,119,33.91,16.637,596,234.952,75.782,0.26,0.18,0.84,0.9,-0.29,1.49,0.5565,0.6412,1.1522
5,5,W,W3,C,29,28.53,0.3545,0.3333,0.33,0,26.14,0,0.67,14.83,0.05,0,41.6,41.7,5.87,1.17,2.17,11.25,13.42,2.32,3.31,7.3,64.98,7.03,11.93,284.5,48.79,52.5,5.57,8.33,1.39,0.34,3.01,2.34,0.76,15.19,2.61,3.2,0.86,110.75,24.11,1.2068,10.5682,8.2074,2.6596,53.3919,9.1857,11.2595,3.017,389.2794,84.7452,0.35,3.11,2.44,0.8,15.75,2.76,3.29,0.91,114.25,24.58,1.48,1.35,1.39,1.88,1.28,1.51,1.3,1.82,1.33,1.79,4.62,NA,NA,NA,499,246.146,110.956,0.27,0.18,0.83,0.9,0.81,1.77,0.4877,0.5596,1.1473
7,7,W,W3,D,29,28.78,0.3849,0.4367,0.35,0,28.13,0.01,1.6,18.87,0.07,0.1,48.7,48.8,6.21,1,2.42,20.67,23.08,4.28,5.07,9.15,73.98,8.47,9.93,396.42,73.73,93.13,4.72,4.66,0.98,0.32,4.14,3.45,1.07,23.26,3.7,5.86,1.11,97,42.4,0.7988,10.4351,8.6945,2.7034,58.6755,9.3336,14.7908,2.8085,244.6915,106.9579,0.34,4.29,3.6,1.18,23.83,3.83,6.01,1.18,110.5,43.26,1.72,1.45,1.46,1.76,1.28,1.36,1.3,1.63,1.15,1.96,6.19,120,39.693,21.154,516,208.038,67.519,0.27,0.15,0.83,0.92,0.65,1.61,0.4941,0.5762,1.1662
9,9,W,W3,E,29,28.8,0.3646,0.2833,0.36,0.02,39.79,0.04,1.09,20.64,0.08,0.19,61.7,61.8,6.1,2.58,3.5,11.58,15.08,2.03,2.9,8.28,43.84,5.56,12.21,392.56,62.37,66.65,5.78,7.34,1.19,0.2,3.92,2.26,0.86,16.9,2.83,5.26,1.01,122.63,30.37,0.518,9.9816,5.7529,2.1908,43.0513,7.2092,13.3994,2.5771,312.3766,77.365,0.21,4.05,2.48,0.9,17.78,2.98,5.46,1.14,129,31.04,1.67,1.36,1.56,1.81,1.35,1.48,1.32,1.84,1.39,1.9,9.39,120,47.523,29.119,563,224.416,76.484,0.26,0.21,0.84,0.88,-0.24,1.51,0.5112,0.6064,1.1862
11,1,W,W8,A,34,30.66,0.261,0.4267,0.35,0,31.43,0.01,1.72,9.98,0.04,0.15,43.3,NA,NA,0.12,1.65,11.31,12.96,4.08,2.65,8.55,39.7,4.2,9.45,469,84,55,5.58,8.48,1.52,0.15,6.97,5.34,2.07,25.65,4.52,6.7,2.52,211.18,40.69,0.3198,14.8614,11.3859,4.4136,54.6908,9.6375,14.2857,5.3731,450.2772,86.7591,0.2,6.21,4.84,1.66,22.83,4.13,6.08,2.63,169,33.83,2.01,1.75,1.51,1.87,1.39,1.56,1.65,1.86,1.07,1.71,4.28,87,26.376,12.425,322,59.223,12.008,0.23,0.18,0.87,0.9,2.19,2.3,0.6456,0.7166,1.11
12,3,W,W8,B,34,41.77,0.243,0.32,0.37,0.01,27.19,0.01,0.85,16.51,0.06,0.12,44.7,NA,NA,0.2,1.28,22.71,23.99,2.5,1.06,2.8,33.2,2.5,13.29,117,20,11,5.85,10.54,1.8,0.02,3.04,2.89,0.65,18.11,2.91,1.28,0.76,225.56,13.94,0.1709,25.9829,24.7009,5.5556,154.7863,24.8718,10.9402,6.4957,1927.8632,119.1453,0.04,1.98,2.12,0.52,11.08,3.1,1.08,0.63,158,7.74,1.49,1.56,1.55,1.9,1.51,1.75,1.39,1.89,1.15,1.77,40.47,77,34.574,21.325,224,90.088,38.635,0.29,0.33,0.81,0.77,0.63,1.72,0.5302,0.4918,0.9277
13,5,W,W8,C,34,36.24,0.233,0.3333,0.33,0,26.14,0,0.67,14.83,0.05,0,41.6,NA,NA,0.11,1.18,36.61,37.79,3.91,2.3,4.25,45,4.3,10.46,440,97,56,4.54,7.91,1.74,0.15,9.09,7.28,1.5,44.04,5.56,5.57,1.75,245.65,32.65,0.3409,20.6591,16.5455,3.4091,100.0909,12.6364,12.6591,3.9773,558.2955,74.2045,0.06,4.74,4.74,1.19,28.86,3.82,3.77,1.38,166,19.61,1.73,1.72,1.42,1.95,1.48,1.68,1.6,1.88,1.23,1.67,15.37,89,21.407,9.333,289,47.881,9.641,0.19,0.23,0.9,0.87,0.94,2.08,0.6931,0.6412,0.9251
14,7,W,W8,D,34,29.9,0.204,0.4367,0.35,0,28.13,0.01,1.6,18.87,0.07,0.1,48.7,NA,NA,0.02,2.6,12.31,14.91,8.19,6.39,5.62,44.3,3.7,11.98,676,147,94,4.6,7.18,1.56,0.39,8.61,7.11,1.53,35.1,8.34,10.68,1.42,294.39,57.13,0.5769,12.7367,10.5178,2.2633,51.9231,12.3373,15.7988,2.1006,435.4882,84.5118,0.35,6.02,4.98,1.36,24.01,5.52,7.38,1.2,180,44.19,1.31,1.39,1.42,1.96,1.33,1.54,1.51,1.91,1.27,1.4,8.87,44,9.083,4.578,276,88.147,24.447,0.26,0.17,0.84,0.91,1.48,1.81,0.5933,0.6628,1.1173
15,9,W,W8,E,34,31.61,0.359,0.2833,0.36,0.02,39.79,0.04,1.09,20.64,0.08,0.19,61.7,NA,NA,0,0.92,7.84,8.76,6.5,2.76,6.08,30.8,1.6,19.27,416,91,63,4.57,6.6,1.44,0.37,10.48,6.46,2.21,35.75,9.43,11.78,1.84,339.6,53.79,0.8894,25.1923,15.5288,5.3125,85.9375,22.6683,28.3173,4.4231,816.3462,129.3029,0.35,6.83,4.31,1.61,24.56,5.97,7.79,1.18,201,35.92,1.93,1.53,1.44,2.11,1.38,1.46,1.5,1.76,1.27,1.79,13.6,NA,NA,NA,170,67.85,26.36,0.24,0.19,0.85,0.89,0.96,1.82,0.6515,0.7218,1.1079